protein	strain	araConc	signal
RpoD	DMS2670	0	2231.304199
RpoS	DMS2670	0	72.14941406
RpoD	DMS2670	1.00E-05	2490.189453
RpoS	DMS2670	1.00E-05	26.15380859
RpoD	DMS2670	5.00E-05	2495.77002
RpoS	DMS2670	5.00E-05	1266.044922
RpoD	DMS2670	1.00E-04	2600.729492
RpoS	DMS2670	1.00E-04	1458.774902
RpoD	DMS2670	2.00E-04	2518.068848
RpoS	DMS2670	2.00E-04	1395.73584
RpoD	DMS2670	5.00E-04	2470.680176
RpoS	DMS2670	5.00E-04	1799.701172
RpoD	DMS2670	1.00E-03	2040.280273
RpoS	DMS2670	1.00E-03	1803.804688
RpoD	DMS2670	2.00E-03	2810.470703
RpoS	DMS2670	2.00E-03	3248.383789
RpoD	DMS2670	5.00E-03	2505.094727
RpoS	DMS2670	5.00E-03	6749.234375
RpoD	DMS2670	1.00E-02	2807.130859
RpoS	DMS2670	1.00E-02	10792.21436
RpoD	DMS2537	0.00E+00	2506.811035
RpoS	DMS2537	0.00E+00	8625.620605
RpoD	DMS2537	0.00E+00	2787.626465
RpoS	DMS2537	0.00E+00	6246.76416
RpoD	DMS2537	0.00E+00	3229.692871
RpoS	DMS2537	0.00E+00	8385.005371
RpoD	DMS2537	0.00E+00	2788.002441
RpoS	DMS2537	0.00E+00	4605.989258
