protein	strain	araConc	signal
RpoD	DMS2670	0	2189.200195
RpoS	DMS2670	0	39.15917969
RpoD	DMS2670	1.00E-05	1993.990723
RpoS	DMS2670	1.00E-05	64.4140625
RpoD	DMS2670	5.00E-05	1890.302734
RpoS	DMS2670	5.00E-05	354.0322266
RpoD	DMS2670	1.00E-04	2331.26123
RpoS	DMS2670	1.00E-04	1464.228516
RpoD	DMS2670	2.00E-04	1896.426758
RpoS	DMS2670	2.00E-04	1236.36377
RpoD	DMS2670	5.00E-04	2585.658691
RpoS	DMS2670	5.00E-04	1849.020996
RpoD	DMS2670	1.00E-03	2164.020996
RpoS	DMS2670	1.00E-03	3112.408691
RpoD	DMS2670	2.00E-03	1957.924316
RpoS	DMS2670	2.00E-03	8478.225586
RpoD	DMS2670	5.00E-03	1811.996582
RpoS	DMS2670	5.00E-03	10755.35059
RpoD	DMS2670	1.00E-02	2006.236328
RpoS	DMS2670	1.00E-02	6700.143555
RpoD	DMS2537	0.00E+00	1769.081543
RpoS	DMS2537	0.00E+00	5309.671875
RpoD	DMS2537	0.00E+00	2417.157715
RpoS	DMS2537	0.00E+00	3859.861816
RpoD	DMS2537	0.00E+00	1788.131836
RpoS	DMS2537	0.00E+00	3019.426758
RpoD	DMS2537	0.00E+00	2214.069824
RpoS	DMS2537	0.00E+00	6828.275879
