protein	strain	araConc	signal
RpoD	DMS2670	0	2944.837891
RpoS	DMS2670	0	31.00488281
RpoD	DMS2670	1.00E-05	2960.788574
RpoS	DMS2670	1.00E-05	57.34960938
RpoD	DMS2670	5.00E-05	2566.181152
RpoS	DMS2670	5.00E-05	262.3271484
RpoD	DMS2670	1.00E-04	2469.638184
RpoS	DMS2670	1.00E-04	760.5224609
RpoD	DMS2670	5.00E-04	2254.004883
RpoS	DMS2670	5.00E-04	2039.755371
RpoD	DMS2670	1.00E-03	2129.162109
RpoS	DMS2670	1.00E-03	1509.836426
RpoD	DMS2670	5.00E-03	2155.443359
RpoS	DMS2670	5.00E-03	10364.85986
RpoD	DMS2670	1.00E-02	2091.435059
RpoS	DMS2670	1.00E-02	8039.694336
RpoD	DMS2670	5.00E-02	2128.896973
RpoS	DMS2670	5.00E-02	7194.165039
RpoD	DMS2670	1.00E-01	2215.269043
RpoS	DMS2670	1.00E-01	7655.716309
RpoD	DMS2537	0.00E+00	2640.601563
RpoS	DMS2537	0.00E+00	5360.876465
RpoD	DMS2537	0.00E+00	2485.138672
RpoS	DMS2537	0.00E+00	4078.808105
RpoD	DMS2537	0.00E+00	2257.396973
RpoS	DMS2537	0.00E+00	3338.205566
RpoD	DMS2537	0.00E+00	2294.9375
RpoS	DMS2537	0.00E+00	2727.794434
